delivery_id,order_date,ship_date,promised_date,delivered_date,client_id,carrier_id,warehouse_id,region_id,service_level,distance_km,shipping_cost_usd,is_late,delay_days
158,2025-11-05,2025-11-06,2025-11-09,2025-11-09,307,103,201,2,Standard,149,26.38,0,0
159,2025-12-24,2025-12-25,2025-12-28,2025-12-28,306,102,205,4,Standard,91,15.78,0,0
160,2025-06-18,2025-06-18,2025-06-23,2025-06-23,307,105,201,2,Standard,438,58.61,0,0
161,2025-04-03,2025-04-04,2025-04-07,2025-04-07,302,104,202,3,Standard,145,21.33,0,0
162,2025-02-21,2025-02-22,2025-02-27,2025-03-01,305,105,201,5,Standard,637,80.23,1,2
163,2025-12-21,2025-12-21,2025-12-26,2025-12-26,307,102,204,5,Standard,378,52.42,0,0
164,2025-11-09,2025-11-09,2025-11-14,2025-11-14,303,102,205,4,Standard,485,66.62,0,0
165,2025-10-20,2025-10-20,2025-10-25,2025-10-25,304,103,204,4,Standard,433,60.76,0,0
166,2025-03-12,2025-03-14,2025-03-17,2025-03-17,307,101,204,3,Express,572,82.25,0,0
167,2025-03-05,2025-03-06,2025-03-11,2025-03-13,303,102,203,1,Standard,530,67.48,1,2
168,2025-08-19,2025-08-19,2025-08-24,2025-08-24,303,104,201,1,Standard,387,50.85,0,0
169,2025-01-15,2025-01-16,2025-01-21,2025-01-21,303,103,202,1,Standard,298,44.26,0,0
170,2025-03-13,2025-03-13,2025-03-16,2025-03-16,307,104,205,4,Standard,86,13.43,0,0
171,2025-10-08,2025-10-08,2025-10-13,2025-10-17,306,105,204,5,Standard,300,40.43,1,4
172,2025-11-24,2025-11-24,2025-11-29,2025-11-29,307,104,201,5,Standard,516,68.5,0,0
173,2025-10-22,2025-10-23,2025-10-28,2025-10-28,302,103,204,2,Standard,366,48.36,0,0
174,2025-12-09,2025-12-11,2025-12-14,2025-12-14,301,103,201,5,Express,562,78.48,0,0
175,2025-07-19,2025-07-20,2025-07-23,2025-07-23,307,101,204,4,Express,264,44.16,0,0
176,2025-06-26,2025-06-28,2025-07-03,2025-07-03,302,105,203,1,Standard,365,50.08,0,0
177,2025-12-17,2025-12-17,2025-12-22,2025-12-24,304,102,202,4,Standard,473,59.98,1,2
178,2025-01-22,2025-01-22,2025-01-25,2025-01-25,303,105,204,3,Express,561,78.16,0,0
179,2025-04-08,2025-04-09,2025-04-14,2025-04-14,303,101,203,3,Standard,381,51.34,0,0
180,2025-07-17,2025-07-17,2025-07-22,2025-07-22,303,104,204,2,Standard,536,68.92,0,0
181,2025-02-10,2025-02-12,2025-02-15,2025-02-15,304,102,205,5,Standard,110,16.68,0,0
182,2025-08-17,2025-08-18,2025-08-20,2025-08-20,305,102,204,4,Standard,48,13.12,0,0
183,2025-08-11,2025-08-11,2025-08-14,2025-08-14,303,101,204,1,Standard,168,28.88,0,0
184,2025-12-14,2025-12-16,2025-12-21,2025-12-23,307,101,202,4,Standard,380,50.77,1,2
185,2025-12-14,2025-12-15,2025-12-18,2025-12-18,304,103,204,3,Express,592,79.87,0,0
186,2025-11-29,2025-12-01,2025-12-06,2025-12-16,303,101,201,2,Standard,516,68.03,1,10
187,2025-05-14,2025-05-14,2025-05-19,2025-05-19,306,102,205,4,Standard,507,65.04,0,0
188,2025-08-20,2025-08-21,2025-08-23,2025-08-23,302,101,203,4,Standard,71,14.82,0,0
189,2025-03-22,2025-03-22,2025-03-25,2025-03-25,306,103,205,2,Standard,210,32.95,0,0
190,2025-01-14,2025-01-14,2025-01-19,2025-01-23,303,105,203,5,Standard,569,72.06,1,4
191,2025-09-03,2025-09-04,2025-09-09,2025-09-09,305,104,205,4,Standard,329,46.33,0,0
192,2025-09-22,2025-09-22,2025-09-25,2025-09-25,303,105,205,2,Standard,137,22.04,0,0
193,2025-09-23,2025-09-25,2025-09-28,2025-09-28,302,102,202,3,Standard,235,33.28,0,0
194,2025-02-10,2025-02-10,2025-02-15,2025-02-15,303,105,203,2,Standard,315,44.49,0,0
195,2025-03-28,2025-03-30,2025-04-04,2025-04-14,305,102,202,5,Standard,624,79.91,1,10
196,2025-01-15,2025-01-17,2025-01-22,2025-01-29,301,105,203,1,Standard,590,76.3,1,7
197,2025-10-07,2025-10-07,2025-10-10,2025-10-10,303,104,202,3,Express,420,60.18,0,0
198,2025-03-22,2025-03-24,2025-03-29,2025-03-29,304,104,204,4,Standard,626,78.98,0,0
199,2025-06-26,2025-06-26,2025-07-01,2025-07-01,304,103,205,2,Standard,331,44.17,0,0
200,2025-05-07,2025-05-07,2025-05-10,2025-05-10,302,101,203,1,Express,635,86.71,0,0
201,2025-10-23,2025-10-24,2025-10-29,2025-10-29,306,102,202,3,Standard,532,69.64,0,0
202,2025-02-16,2025-02-17,2025-02-22,2025-02-22,304,104,202,5,Standard,366,47.21,0,0
203,2025-12-01,2025-12-02,2025-12-05,2025-12-05,306,103,205,4,Standard,115,19.39,0,0
204,2025-07-26,2025-07-27,2025-07-30,2025-08-04,303,104,201,1,Standard,204,29.66,1,5
205,2025-08-19,2025-08-19,2025-08-22,2025-08-22,307,103,205,5,Standard,126,18.89,0,0
206,2025-06-23,2025-06-23,2025-06-28,2025-07-05,305,102,202,3,Standard,416,55.92,1,7
207,2025-06-20,2025-06-22,2025-06-27,2025-06-27,307,105,204,4,Standard,532,67.68,0,0
208,2025-07-21,2025-07-23,2025-07-28,2025-07-28,305,105,203,3,Standard,526,69.31,0,0
209,2025-09-01,2025-09-03,2025-09-08,2025-09-08,307,103,203,1,Standard,431,58.22,0,0
210,2025-11-19,2025-11-21,2025-11-24,2025-11-28,301,104,203,5,Express,597,83.11,1,4
211,2025-03-29,2025-03-31,2025-04-03,2025-04-04,305,104,202,5,Express,253,38.55,1,1
212,2025-08-14,2025-08-16,2025-08-21,2025-08-21,303,102,204,4,Standard,425,57.01,0,0
213,2025-02-01,2025-02-02,2025-02-07,2025-02-07,306,105,202,2,Standard,494,65.43,0,0
214,2025-08-24,2025-08-24,2025-08-29,2025-08-29,305,105,203,3,Standard,275,39.66,0,0
215,2025-05-23,2025-05-24,2025-05-26,2025-05-26,305,102,203,3,Express,217,38.18,0,0
216,2025-06-28,2025-06-29,2025-07-04,2025-07-04,305,103,201,3,Standard,561,72.6,0,0
217,2025-03-16,2025-03-18,2025-03-23,2025-03-23,303,103,201,1,Standard,457,61.78,0,0
218,2025-04-14,2025-04-16,2025-04-19,2025-04-19,307,103,205,5,Standard,145,21.06,0,0
219,2025-05-05,2025-05-06,2025-05-11,2025-05-21,301,102,202,5,Standard,428,56.34,1,10
220,2025-03-12,2025-03-12,2025-03-17,2025-03-17,301,102,204,5,Standard,492,64.9,0,0
221,2025-05-28,2025-05-30,2025-06-02,2025-06-02,303,101,201,3,Standard,242,35.25,0,0
222,2025-01-20,2025-01-20,2025-01-23,2025-01-23,302,102,201,4,Express,411,62.05,0,0
223,2025-05-29,2025-05-31,2025-06-05,2025-06-05,301,103,205,1,Standard,348,46.47,0,0
224,2025-09-10,2025-09-12,2025-09-15,2025-09-15,302,104,203,5,Standard,120,19.38,0,0
225,2025-05-12,2025-05-12,2025-05-15,2025-05-25,306,101,203,2,Express,586,82.37,1,10
226,2025-11-24,2025-11-24,2025-11-27,2025-11-27,304,105,203,4,Standard,102,16.35,0,0
227,2025-05-08,2025-05-09,2025-05-14,2025-05-14,301,104,202,3,Standard,278,42.08,0,0
228,2025-10-21,2025-10-21,2025-10-24,2025-10-24,301,103,202,3,Standard,126,20.91,0,0
229,2025-09-15,2025-09-15,2025-09-18,2025-09-18,306,101,203,3,Standard,231,32.03,0,0
230,2025-08-21,2025-08-23,2025-08-28,2025-08-28,306,103,204,5,Standard,487,65.98,0,0
231,2025-05-07,2025-05-09,2025-05-14,2025-05-24,306,101,205,5,Standard,375,48.47,1,10
232,2025-10-08,2025-10-09,2025-10-14,2025-10-16,305,105,205,2,Standard,340,48.93,1,2
233,2025-10-26,2025-10-27,2025-10-30,2025-10-30,304,105,204,1,Express,469,65.07,0,0
234,2025-01-30,2025-02-01,2025-02-03,2025-02-07,305,103,201,4,Standard,8,8.43,1,4
235,2025-06-26,2025-06-27,2025-06-28,2025-07-02,306,105,201,1,Express,75,22.92,1,4
236,2025-04-03,2025-04-04,2025-04-07,2025-04-07,307,104,203,2,Express,396,58.21,0,0
237,2025-12-16,2025-12-16,2025-12-21,2025-12-21,306,102,203,5,Standard,555,71.96,0,0
238,2025-04-25,2025-04-26,2025-05-01,2025-05-01,307,101,203,1,Standard,562,72.98,0,0
239,2025-05-07,2025-05-09,2025-05-12,2025-05-12,304,102,203,3,Standard,120,17.59,0,0
240,2025-01-09,2025-01-11,2025-01-16,2025-01-16,302,101,201,2,Standard,462,62.03,0,0
241,2025-05-06,2025-05-06,2025-05-09,2025-05-09,306,104,204,1,Standard,227,34.77,0,0
242,2025-05-29,2025-05-29,2025-06-03,2025-06-03,302,103,205,5,Standard,333,44.38,0,0
243,2025-09-24,2025-09-24,2025-09-29,2025-09-29,302,103,203,4,Standard,610,81.48,0,0
244,2025-08-07,2025-08-08,2025-08-11,2025-08-11,305,101,203,4,Express,395,60.11,0,0
245,2025-07-29,2025-07-29,2025-08-01,2025-08-01,302,104,202,3,Express,489,68.13,0,0
246,2025-12-29,2025-12-29,2026-01-03,2026-01-03,302,101,205,4,Standard,431,58.06,0,0
247,2025-05-11,2025-05-11,2025-05-13,2025-05-17,302,101,204,3,Express,99,23.09,1,4
248,2025-12-11,2025-12-13,2025-12-18,2025-12-18,305,101,201,5,Standard,606,80.07,0,0
249,2025-04-17,2025-04-17,2025-04-20,2025-04-20,307,103,201,3,Standard,199,32.65,0,0
250,2025-09-03,2025-09-04,2025-09-07,2025-09-07,302,102,204,5,Express,570,78.33,0,0
251,2025-10-01,2025-10-03,2025-10-08,2025-10-08,306,103,203,3,Standard,514,67.48,0,0
252,2025-06-13,2025-06-13,2025-06-16,2025-06-16,302,103,204,3,Standard,231,35.17,0,0
253,2025-10-27,2025-10-27,2025-10-30,2025-10-30,305,103,202,4,Standard,240,34.08,0,0
254,2025-12-02,2025-12-04,2025-12-07,2025-12-07,306,103,204,3,Express,507,71.6,0,0
255,2025-03-28,2025-03-28,2025-03-31,2025-03-31,302,104,202,5,Express,560,81.14,0,0
256,2025-02-08,2025-02-10,2025-02-15,2025-02-17,307,101,204,1,Standard,650,82.39,1,2
257,2025-09-16,2025-09-18,2025-09-23,2025-09-23,304,101,205,3,Standard,636,84.8,0,0
258,2025-01-04,2025-01-05,2025-01-10,2025-01-20,305,104,201,5,Standard,286,40.53,1,10
259,2025-12-24,2025-12-24,2025-12-27,2025-12-27,306,102,201,4,Express,541,73.81,0,0
260,2025-05-10,2025-05-10,2025-05-15,2025-05-15,307,103,204,3,Standard,420,56.15,0,0
261,2025-04-26,2025-04-26,2025-05-01,2025-05-01,303,101,201,1,Standard,391,53.24,0,0
262,2025-12-26,2025-12-26,2025-12-31,2025-12-31,302,104,204,1,Standard,344,47.68,0,0
263,2025-01-22,2025-01-23,2025-01-26,2025-01-26,302,105,204,2,Standard,81,16.83,0,0
264,2025-10-16,2025-10-18,2025-10-21,2025-10-21,306,102,203,1,Standard,217,32.56,0,0
265,2025-02-09,2025-02-11,2025-02-16,2025-02-16,303,105,202,2,Standard,403,55.42,0,0
266,2025-03-13,2025-03-13,2025-03-18,2025-03-18,307,105,203,1,Standard,452,58.63,0,0
267,2025-11-11,2025-11-12,2025-11-17,2025-11-17,305,103,201,4,Standard,466,61.86,0,0
