date,year,month,day,week,weekday_num,weekday_name
2025-05-01,2025,5,1,18,3,Thursday
2025-05-02,2025,5,2,18,4,Friday
2025-05-03,2025,5,3,18,5,Saturday
2025-05-04,2025,5,4,18,6,Sunday
2025-05-05,2025,5,5,19,0,Monday
2025-05-06,2025,5,6,19,1,Tuesday
2025-05-07,2025,5,7,19,2,Wednesday
2025-05-08,2025,5,8,19,3,Thursday
2025-05-09,2025,5,9,19,4,Friday
2025-05-10,2025,5,10,19,5,Saturday
2025-05-11,2025,5,11,19,6,Sunday
2025-05-12,2025,5,12,20,0,Monday
2025-05-13,2025,5,13,20,1,Tuesday
2025-05-14,2025,5,14,20,2,Wednesday
2025-05-15,2025,5,15,20,3,Thursday
2025-05-16,2025,5,16,20,4,Friday
2025-05-17,2025,5,17,20,5,Saturday
2025-05-18,2025,5,18,20,6,Sunday
2025-05-19,2025,5,19,21,0,Monday
2025-05-20,2025,5,20,21,1,Tuesday
2025-05-21,2025,5,21,21,2,Wednesday
2025-05-22,2025,5,22,21,3,Thursday
2025-05-23,2025,5,23,21,4,Friday
2025-05-24,2025,5,24,21,5,Saturday
2025-05-25,2025,5,25,21,6,Sunday
2025-05-26,2025,5,26,22,0,Monday
2025-05-27,2025,5,27,22,1,Tuesday
2025-05-28,2025,5,28,22,2,Wednesday
2025-05-29,2025,5,29,22,3,Thursday
2025-05-30,2025,5,30,22,4,Friday
2025-05-31,2025,5,31,22,5,Saturday
2025-06-01,2025,6,1,22,6,Sunday
2025-06-02,2025,6,2,23,0,Monday
2025-06-03,2025,6,3,23,1,Tuesday
2025-06-04,2025,6,4,23,2,Wednesday
2025-06-05,2025,6,5,23,3,Thursday
2025-06-06,2025,6,6,23,4,Friday
2025-06-07,2025,6,7,23,5,Saturday
2025-06-08,2025,6,8,23,6,Sunday
2025-06-09,2025,6,9,24,0,Monday
2025-06-10,2025,6,10,24,1,Tuesday
2025-06-11,2025,6,11,24,2,Wednesday
2025-06-12,2025,6,12,24,3,Thursday
2025-06-13,2025,6,13,24,4,Friday
2025-06-14,2025,6,14,24,5,Saturday
2025-06-15,2025,6,15,24,6,Sunday
2025-06-16,2025,6,16,25,0,Monday
2025-06-17,2025,6,17,25,1,Tuesday
2025-06-18,2025,6,18,25,2,Wednesday
2025-06-19,2025,6,19,25,3,Thursday
2025-06-20,2025,6,20,25,4,Friday
2025-06-21,2025,6,21,25,5,Saturday
2025-06-22,2025,6,22,25,6,Sunday
2025-06-23,2025,6,23,26,0,Monday
2025-06-24,2025,6,24,26,1,Tuesday
2025-06-25,2025,6,25,26,2,Wednesday
2025-06-26,2025,6,26,26,3,Thursday
2025-06-27,2025,6,27,26,4,Friday
2025-06-28,2025,6,28,26,5,Saturday
2025-06-29,2025,6,29,26,6,Sunday
2025-06-30,2025,6,30,27,0,Monday
2025-07-01,2025,7,1,27,1,Tuesday
2025-07-02,2025,7,2,27,2,Wednesday
2025-07-03,2025,7,3,27,3,Thursday
2025-07-04,2025,7,4,27,4,Friday
2025-07-05,2025,7,5,27,5,Saturday
2025-07-06,2025,7,6,27,6,Sunday
2025-07-07,2025,7,7,28,0,Monday
2025-07-08,2025,7,8,28,1,Tuesday
2025-07-09,2025,7,9,28,2,Wednesday
2025-07-10,2025,7,10,28,3,Thursday
2025-07-11,2025,7,11,28,4,Friday
2025-07-12,2025,7,12,28,5,Saturday
2025-07-13,2025,7,13,28,6,Sunday
2025-07-14,2025,7,14,29,0,Monday
2025-07-15,2025,7,15,29,1,Tuesday
2025-07-16,2025,7,16,29,2,Wednesday
2025-07-17,2025,7,17,29,3,Thursday
2025-07-18,2025,7,18,29,4,Friday
2025-07-19,2025,7,19,29,5,Saturday
2025-07-20,2025,7,20,29,6,Sunday
2025-07-21,2025,7,21,30,0,Monday
2025-07-22,2025,7,22,30,1,Tuesday
2025-07-23,2025,7,23,30,2,Wednesday
2025-07-24,2025,7,24,30,3,Thursday
2025-07-25,2025,7,25,30,4,Friday
2025-07-26,2025,7,26,30,5,Saturday
2025-07-27,2025,7,27,30,6,Sunday
2025-07-28,2025,7,28,31,0,Monday
2025-07-29,2025,7,29,31,1,Tuesday
2025-07-30,2025,7,30,31,2,Wednesday
2025-07-31,2025,7,31,31,3,Thursday
2025-08-01,2025,8,1,31,4,Friday
2025-08-02,2025,8,2,31,5,Saturday
2025-08-03,2025,8,3,31,6,Sunday
2025-08-04,2025,8,4,32,0,Monday
2025-08-05,2025,8,5,32,1,Tuesday
2025-08-06,2025,8,6,32,2,Wednesday
2025-08-07,2025,8,7,32,3,Thursday
2025-08-08,2025,8,8,32,4,Friday
2025-08-09,2025,8,9,32,5,Saturday
2025-08-10,2025,8,10,32,6,Sunday
2025-08-11,2025,8,11,33,0,Monday
2025-08-12,2025,8,12,33,1,Tuesday
2025-08-13,2025,8,13,33,2,Wednesday
2025-08-14,2025,8,14,33,3,Thursday
2025-08-15,2025,8,15,33,4,Friday
2025-08-16,2025,8,16,33,5,Saturday
2025-08-17,2025,8,17,33,6,Sunday
2025-08-18,2025,8,18,34,0,Monday
2025-08-19,2025,8,19,34,1,Tuesday
2025-08-20,2025,8,20,34,2,Wednesday
2025-08-21,2025,8,21,34,3,Thursday
2025-08-22,2025,8,22,34,4,Friday
2025-08-23,2025,8,23,34,5,Saturday
2025-08-24,2025,8,24,34,6,Sunday
2025-08-25,2025,8,25,35,0,Monday
2025-08-26,2025,8,26,35,1,Tuesday
2025-08-27,2025,8,27,35,2,Wednesday
2025-08-28,2025,8,28,35,3,Thursday
2025-08-29,2025,8,29,35,4,Friday
2025-08-30,2025,8,30,35,5,Saturday
2025-08-31,2025,8,31,35,6,Sunday
2025-09-01,2025,9,1,36,0,Monday
2025-09-02,2025,9,2,36,1,Tuesday
2025-09-03,2025,9,3,36,2,Wednesday
2025-09-04,2025,9,4,36,3,Thursday
2025-09-05,2025,9,5,36,4,Friday
2025-09-06,2025,9,6,36,5,Saturday
2025-09-07,2025,9,7,36,6,Sunday
2025-09-08,2025,9,8,37,0,Monday
2025-09-09,2025,9,9,37,1,Tuesday
2025-09-10,2025,9,10,37,2,Wednesday
2025-09-11,2025,9,11,37,3,Thursday
2025-09-12,2025,9,12,37,4,Friday
2025-09-13,2025,9,13,37,5,Saturday
2025-09-14,2025,9,14,37,6,Sunday
2025-09-15,2025,9,15,38,0,Monday
2025-09-16,2025,9,16,38,1,Tuesday
2025-09-17,2025,9,17,38,2,Wednesday
2025-09-18,2025,9,18,38,3,Thursday
2025-09-19,2025,9,19,38,4,Friday
2025-09-20,2025,9,20,38,5,Saturday
2025-09-21,2025,9,21,38,6,Sunday
2025-09-22,2025,9,22,39,0,Monday
2025-09-23,2025,9,23,39,1,Tuesday
2025-09-24,2025,9,24,39,2,Wednesday
2025-09-25,2025,9,25,39,3,Thursday
2025-09-26,2025,9,26,39,4,Friday
2025-09-27,2025,9,27,39,5,Saturday
2025-09-28,2025,9,28,39,6,Sunday
2025-09-29,2025,9,29,40,0,Monday
2025-09-30,2025,9,30,40,1,Tuesday
2025-10-01,2025,10,1,40,2,Wednesday
2025-10-02,2025,10,2,40,3,Thursday
2025-10-03,2025,10,3,40,4,Friday
2025-10-04,2025,10,4,40,5,Saturday
2025-10-05,2025,10,5,40,6,Sunday
2025-10-06,2025,10,6,41,0,Monday
2025-10-07,2025,10,7,41,1,Tuesday
2025-10-08,2025,10,8,41,2,Wednesday
2025-10-09,2025,10,9,41,3,Thursday
2025-10-10,2025,10,10,41,4,Friday
2025-10-11,2025,10,11,41,5,Saturday
2025-10-12,2025,10,12,41,6,Sunday
2025-10-13,2025,10,13,42,0,Monday
2025-10-14,2025,10,14,42,1,Tuesday
2025-10-15,2025,10,15,42,2,Wednesday
2025-10-16,2025,10,16,42,3,Thursday
2025-10-17,2025,10,17,42,4,Friday
2025-10-18,2025,10,18,42,5,Saturday
2025-10-19,2025,10,19,42,6,Sunday
2025-10-20,2025,10,20,43,0,Monday
2025-10-21,2025,10,21,43,1,Tuesday
2025-10-22,2025,10,22,43,2,Wednesday
2025-10-23,2025,10,23,43,3,Thursday
2025-10-24,2025,10,24,43,4,Friday
2025-10-25,2025,10,25,43,5,Saturday
2025-10-26,2025,10,26,43,6,Sunday
2025-10-27,2025,10,27,44,0,Monday
2025-10-28,2025,10,28,44,1,Tuesday
2025-10-29,2025,10,29,44,2,Wednesday
2025-10-30,2025,10,30,44,3,Thursday
2025-10-31,2025,10,31,44,4,Friday
2025-11-01,2025,11,1,44,5,Saturday
2025-11-02,2025,11,2,44,6,Sunday
2025-11-03,2025,11,3,45,0,Monday
2025-11-04,2025,11,4,45,1,Tuesday
2025-11-05,2025,11,5,45,2,Wednesday
2025-11-06,2025,11,6,45,3,Thursday
2025-11-07,2025,11,7,45,4,Friday
2025-11-08,2025,11,8,45,5,Saturday
2025-11-09,2025,11,9,45,6,Sunday
2025-11-10,2025,11,10,46,0,Monday
2025-11-11,2025,11,11,46,1,Tuesday
2025-11-12,2025,11,12,46,2,Wednesday
2025-11-13,2025,11,13,46,3,Thursday
2025-11-14,2025,11,14,46,4,Friday
2025-11-15,2025,11,15,46,5,Saturday
2025-11-16,2025,11,16,46,6,Sunday
2025-11-17,2025,11,17,47,0,Monday
2025-11-18,2025,11,18,47,1,Tuesday
2025-11-19,2025,11,19,47,2,Wednesday
2025-11-20,2025,11,20,47,3,Thursday
2025-11-21,2025,11,21,47,4,Friday
2025-11-22,2025,11,22,47,5,Saturday
2025-11-23,2025,11,23,47,6,Sunday
2025-11-24,2025,11,24,48,0,Monday
2025-11-25,2025,11,25,48,1,Tuesday
2025-11-26,2025,11,26,48,2,Wednesday
2025-11-27,2025,11,27,48,3,Thursday
2025-11-28,2025,11,28,48,4,Friday
2025-11-29,2025,11,29,48,5,Saturday
2025-11-30,2025,11,30,48,6,Sunday
2025-12-01,2025,12,1,49,0,Monday
2025-12-02,2025,12,2,49,1,Tuesday
2025-12-03,2025,12,3,49,2,Wednesday
2025-12-04,2025,12,4,49,3,Thursday
2025-12-05,2025,12,5,49,4,Friday
2025-12-06,2025,12,6,49,5,Saturday
2025-12-07,2025,12,7,49,6,Sunday
2025-12-08,2025,12,8,50,0,Monday
2025-12-09,2025,12,9,50,1,Tuesday
2025-12-10,2025,12,10,50,2,Wednesday
2025-12-11,2025,12,11,50,3,Thursday
2025-12-12,2025,12,12,50,4,Friday
2025-12-13,2025,12,13,50,5,Saturday
2025-12-14,2025,12,14,50,6,Sunday
2025-12-15,2025,12,15,51,0,Monday
2025-12-16,2025,12,16,51,1,Tuesday
2025-12-17,2025,12,17,51,2,Wednesday
2025-12-18,2025,12,18,51,3,Thursday
2025-12-19,2025,12,19,51,4,Friday
2025-12-20,2025,12,20,51,5,Saturday
2025-12-21,2025,12,21,51,6,Sunday
2025-12-22,2025,12,22,52,0,Monday
2025-12-23,2025,12,23,52,1,Tuesday
2025-12-24,2025,12,24,52,2,Wednesday
2025-12-25,2025,12,25,52,3,Thursday
2025-12-26,2025,12,26,52,4,Friday
2025-12-27,2025,12,27,52,5,Saturday
2025-12-28,2025,12,28,52,6,Sunday
2025-12-29,2025,12,29,1,0,Monday
2025-12-30,2025,12,30,1,1,Tuesday
2025-12-31,2025,12,31,1,2,Wednesday
